Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,scaff_non_virus.fasta
Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,Bacteriovorax_marinus,Bacteriovorax_marinus_SJ_uid82341,0.28260814612790575
Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula_bermudensis,Parvularcula_bermudensis_HTCC2503_uid51641,0.8833315175011458
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_cetorum,Helicobacter_cetorum_MIT_99_5656_uid162215,0.24401501029970843
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_pylori,Helicobacter_pylori_Gambia94_24_uid159493,0.22818637611092796
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_acinonychis,Helicobacter_acinonychis_Sheeba_uid58685,0.6152836085275312
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Tistrella,Tistrella_mobilis,Tistrella_mobilis_KA081020_065_uid167486,1.0726348389285423
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_heilmannii,Helicobacter_heilmannii_ASB1_4_uid182935,0.6357819350194125
Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Simkaniaceae,Simkania,Simkania_negevensis,Simkania_negevensis_Z_uid68451,4.467471231336656
Archaea,Euryarchaeota,Unknown Class,Unknown Order,Unknown Family,Aciduliprofundum,Aciduliprofundum_boonei,Aciduliprofundum_boonei_T469_uid43333,0.5191920948666869
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella_multocida,Pasteurella_multocida_3480_uid161955,0.4032001288705567
Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,Caldivirga_maquilingensis,Caldivirga_maquilingensis_IC_167_uid58711,1.0981939540997043
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_wittichii,Sphingomonas_wittichii_RW1_uid58691,0.4303348645854195
Bacteria,Cyanobacteria,Unknown Class,Chroococcales,Unknown Family,Dactylococcopsis,Dactylococcopsis_salina,Dactylococcopsis_salina_PCC_8305_uid183341,1.1156756415455067
Archaea,Thaumarchaeota,Unknown Class,Unknown Order,Unknown Family,Candidatus_Caldiarchaeum,Candidatus_Caldiarchaeum_subterraneum,Candidatus_Caldiarchaeum_subterraneum_uid227223,1.1337242167379953
