Genus,scaff_non_virus.fasta
Acinetobacter,14.094999195777385
Bacteriovorax,0.28260814612790575
Exiguobacterium,0.1332021032931849
Chlamydia,1.1610256422284546
Helicobacter,3.3307753591906843
Pseudomonas,0.23948372582693717
Lactococcus,0.2982571142681423
Stenotrophomonas,0.5670675016096993
Thermotoga,0.12537291340288717
Coprococcus,0.13725554015619437
Paracoccus,1.2014291687022767
Methanobacterium,0.47160232198609825
Pseudoalteromonas,0.5585815950940382
Parvularcula,0.8833315175011458
Leptothrix,2.1192127708331836
Pasteurella,0.4032001288705567
Sphingobium,8.738365217386242
Tistrella,1.0726348389285423
Novosphingobium,0.2123357321314034
Simkania,4.467471231336656
Aciduliprofundum,0.5191920948666869
Hippea,0.28635899091785233
Sphingomonas,2.923132034568905
Caldivirga,1.0981939540997043
Macrococcus,0.06844508852095454
Taylorella,3.3505782992550524
Sphingopyxis,1.8888351390010412
Dactylococcopsis,1.1156756415455067
Candidatus_Caldiarchaeum,1.1337242167379953
Providencia,1.8019164543151975
Moraxella,3.1734989612454823
Mediterraneibacter,1.4383325840869372
Acidibacillus,1.2237628413789408
Agrococcus,0.9759104346652263
Alkalibacterium,0.2007260375770552
Alloscardovia,0.24856746821109904
Alysiella,1.2225876551407133
Aquincola,0.47065331517288694
Asaia,2.616309676283271
Brevibacterium,2.6023131254620226
Cobetia,0.9312378394263203
Dactylosporangium,0.3415012930312712
Desulfothermus,0.858624646551172
Enterovibrio,0.30527981792638426
Faecalibaculum,0.07533606973068405
Fodinicola,0.6001952392227261
Halocynthiibacter,1.6475621957860402
Halovenus,0.7792035548324245
Ideonella,7.525791512662234
Komagataeibacter,0.6506745286403346
Malikia,0.18823874658510598
Marivivens,1.202484918675957
Paraburkholderia,0.5776224296406363
Perlucidibaca,0.04061197459479634
Polymorphobacter,0.820947731399061
Poriferisphaera,2.6695373066419554
Prochlorothrix,4.332583036827493
Pseudodonghicola,0.35742438506296964
Pseudorivibacter,3.121675286122081
Psittacicella,0.21377192651477844
Rappaport,0.27598587157854004
Roseomonas,0.9078135208199013
Shuttleworthia,0.1339071628481613
Sphaerotilus,0.8536466206680015
Stakelama,1.2294210595391981
Yoonia,0.5019955469676154
