Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,scaff_non_virus.fasta
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Pantoea_ananatis,Pantoea_ananatis_PA13_uid162181,0.9185455996779914
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter_diazotrophicus,Gluconacetobacter_diazotrophicus_PAl_5_uid59075,0.4075231729235138
Bacteria,Proteobacteria,Betaproteobacteria,Unknown Order,Unknown Family,Candidatus_Tremblaya,Candidatus_Tremblaya_princeps,Candidatus_Tremblaya_princeps_PCVAL_uid159519,1.0330214418431987
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium_ciceri,Mesorhizobium_ciceri_biovar_biserrulae_WSM1271_uid62101,0.555839904898437
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unknown Family,Tropheryma,Tropheryma_whipplei,Tropheryma_whipplei_TW08_27_uid57961,0.07322837501098799
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown Family,Rubrivivax,Rubrivivax_gelatinosus,Rubrivivax_gelatinosus_IL144_uid158163,2.417831773434283
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_mustelae,Helicobacter_mustelae_12198_uid46647,0.9125146906939996
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas_spadix,Pseudoxanthomonas_spadix_BD_a59_uid75113,1.2669484469691052
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_putida_group,Pseudomonas_putida_F1_uid58355,1.1013489176441216
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella_pneumophila_Paris_uid58211,0.04133421769732616
