Class,scaff_non_virus.fasta
Spirochaetia,1.4500906245012446
Bacilli,2.0007322258593256
Gammaproteobacteria,29.753343820900106
Unknown Class,4.706944372303842
Actinobacteria,4.7503910508251845
Alphaproteobacteria,28.23158359433099
Clostridia,1.3117651291425982
Deltaproteobacteria,0.7870176256930933
Betaproteobacteria,14.729929564828376
Thermoprotei,0.7924673830878547
Chlamydiia,3.968973305642398
Epsilonproteobacteria,4.323333669530739
Methanococci,1.5354655489377957
Synergistia,0.18107697938383152
Planctomycetia,1.4768851050326228
