Strain,scaff_non_virus.fasta
Pantoea_ananatis_PA13_uid162181,0.9185455996779914
Gluconacetobacter_diazotrophicus_PAl_5_uid59075,0.4075231729235138
Candidatus_Tremblaya_princeps_PCVAL_uid159519,1.0330214418431987
Mesorhizobium_ciceri_biovar_biserrulae_WSM1271_uid62101,0.555839904898437
Tropheryma_whipplei_TW08_27_uid57961,0.07322837501098799
Rubrivivax_gelatinosus_IL144_uid158163,2.417831773434283
Helicobacter_mustelae_12198_uid46647,0.9125146906939996
Pseudoxanthomonas_spadix_BD_a59_uid75113,1.2669484469691052
Pseudomonas_putida_F1_uid58355,1.1013489176441216
Legionella_pneumophila_Paris_uid58211,0.04133421769732616
Desulfovibrio_vulgaris_RCH1_uid161961,0.7870176256930933
Bacillus_pumilus_SAFR_032_uid59017,0.26237428487180314
Parvularcula_bermudensis_HTCC2503_uid51641,2.666484476184808
Leptothrix_cholodnii_SP_6_uid58971,2.6102320218994093
Ketogulonicigenium_vulgare_Y25_uid59581,3.1595650669510964
Frateuria_aurantia_DSM_6220_uid81775,3.2728535353292987
Sphingobium_japonicum_UT26S_uid47077,3.870288098763377
Helicobacter_acinonychis_Sheeba_uid58685,0.351232701321131
Candidatus_Arthromitus_SFB_mouse_Japan_uid71379,0.295984615660941
Pseudomonas_VLB120_uid226717,0.1320891439367145
Delftia_Cs1_4_uid67319,1.2987013581696492
Shewanella_denitrificans_OS217_uid58263,1.39300167246319
Tistrella_mobilis_KA081020_065_uid167486,3.364682425551788
Novosphingobium_PP1Y_uid67383,0.19383092931334328
Hirschia_baltica_ATCC_49814_uid59365,3.9742487010264256
Helicobacter_heilmannii_ASB1_4_uid182935,2.5550677096036702
Oscillatoria_acuminata_PCC_6304_uid183003,0.2792096830109169
Simkania_negevensis_Z_uid68451,3.968973305642398
Helicobacter_cinaedi_ATCC_BAA_847_uid193765,0.5045185679119389
Arthrospira_platensis_NIES_39_uid197171,0.22295354113886
Methylibium_petroleiphilum_PM1_uid58085,1.4291422097079036
Staphylothermus_hellenicus_DSM_12710_uid45893,0.09046240999389493
Aromatoleum_aromaticum_EbN1_uid58231,0.8532720379861966
Burkholderia_383_uid58073,0.02223803291530289
Thermanaerovibrio_acidaminovorans_DSM_6589_uid41925,0.18107697938383152
Pasteurella_multocida_3480_uid161955,2.4802162019143528
Caldivirga_maquilingensis_IC_167_uid58711,0.7020049730939597
Acinetobacter_baumannii_SDF_uid61601,4.211103354004491
Acidimicrobidae_bacterium_YM16_304_uid193703,0.5111840180110524
Magnetococcus_MC_1_uid57833,1.2618203526708534
Methanotorris_igneus_Kol_5_uid67321,1.5354655489377957
Sphingomonas_wittichii_RW1_uid58691,4.679632738169227
Turneriella_parva_DSM_21527_uid168321,1.4500906245012446
Pseudanabaena_PCC_7367_uid183004,0.1069492256085506
Sphingopyxis_alaskensis_RB2256_uid58351,0.7771073970601714
Comamonas_testosteroni_CNB_2_uid62961,1.1314943908774782
Candidatus_Hamiltonella_defensa_5AT__Acyrthosiphon_pisum__uid59289,1.4129172091240463
Erythrobacter_litoralis_HTCC2594_uid58299,3.3205603308179517
Acinetobacter_ADP1_uid61597,6.211349794424505
Pirellula_staleyi_DSM_6068_uid43209,0.9014279167585422
Stenotrophomonas_maltophilia_R551_3_uid58657,3.164647238674998
Exiguobacterium_AT1b_uid59093,1.3486630286726995
Dactylococcopsis_salina_PCC_8305_uid183341,2.9147552403874926
Bacillus_anthracis_A2012_uid54101,0.38969491231482273
Candidatus_Caldiarchaeum_subterraneum_uid227223,0.6887419355490072
Vibrio_furnissii_NCTC_11218_uid82347,0.2286763826356064
Verminephrobacter_eiseniae_EF01_2_uid58675,0.08585224585723863
Taylorella_asinigenitalis_MCE3_uid73771,3.8238167415223923
Advenella_kashmirensis_WT001_uid80859,0.024327310615324983
Moraxella_catarrhalis_BBH18_uid48809,3.704292377987072
Jonesia_denitrificans_DSM_20603_uid59053,4.165978657803144
Synechococcus_PCC_6312_uid182934,0.49433474660901566
Rhodopirellula_baltica_SH_1_uid61589,0.5754571882740807
Coprococcus_ART55_1_uid197176,1.0157805134816573
Pseudomonas_syringae_B728a_uid57931,0.21401972841729008
