Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,scaff_non_virus.fasta
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_serinivorans,DSM_26136,1.3285931111704534
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter_gerneri,MTCC_9824,1.9070452525012709
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Alysiella,Alysiella_filiformis,DSM_16848,0.5306147457802622
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia_macacae,DSM_24762,0.02314598054612873
Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_cetorum,MIT_99-5656,0.21496837337013813
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter_guillouiae,CIP_6346,0.3595204722076345
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter_apis,JCM_18575,1.1921666868192453
Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,Asaia_platycodi,JCM_25414,1.8390920368717023
Bacteria,Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula_oceani,JLT2013,0.22334652053739407
Bacteria,Bacillota,Bacilli,Caryophanales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus_acidiphilus,NBRC_100859,0.10127155621841447
Bacteria,Pseudomonadota,Alphaproteobacteria,Holosporales,Holosporaceae,Candidatus_Hepatobacter,Candidatus_Hepatobacter_penaei,NHPB,0.8045303351786014
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Halocynthiibacter,Halocynthiibacter_namhaensis,RA2-3,1.251777300856782
Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfothermaceae,Desulfothermus,Desulfothermus_okinawensis,JCM_13304,0.6790888660292221
Bacteria,Cyanobacteriota,Cyanophyceae,Nodosilineales,Cymatolegaceae,Dactylococcopsis,Dactylococcopsis_salina,PCC_8305,1.2510708407691047
Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_macacae,MIT_99-5501,0.970972806677522
