Strain,scaff_non_virus.fasta
DSM_26136,1.3285931111704534
MTCC_9824,1.9070452525012709
DSM_16848,0.5306147457802622
DSM_24762,0.02314598054612873
MIT_99-5656,0.21496837337013813
CIP_6346,0.3595204722076345
JCM_18575,1.1921666868192453
S2,1.1837067467209827
JCM_25414,1.8390920368717023
JLT2013,0.22334652053739407
NBRC_100859,0.10127155621841447
NHPB,0.8045303351786014
RA2-3,1.251777300856782
JCM_13304,0.6790888660292221
PCC_8305,1.2510708407691047
MIT_99-5501,0.970972806677522
AZM44c09,0.320513280367691
ATCC_700933,2.519973689703755
C2,0.16605920307798228
NBRC_110140,0.7639445610631955
MIT_98-6070,0.034115696913165273
S6,0.6113593928100242
TISTR_1108,1.3807148046874176
HCH-1,1.4080296428422563
Y002,1.1582365681384619
M3,1.075847338807085
B08008,0.13649948590836244
LPB0140,0.32396393061051143
MCCC_1A06712,0.9339576096657946
RKI_16-01929TLMG_29738TCCM_8701TCIP_111112T,0.695056996142113
WCHAc010005,0.2942841950115925
B96_4,1.0013385280348084
NCTC12686,1.0250311643082304
KCTC_62575,0.4602400379520073
SJQ9,0.20116794111620032
KS4,3.44218382412484
LD6,1.4416990477941853
C1-9,0.8364759238893132
S23,6.0989799252384485
323-1,1.944932830784506
SHSM-M6,0.35521074510344053
M6,0.13389404065666657
Re57,3.6381086469877597
SCR006,1.2664304350954758
JCM_21022,1.3498864093579999
NHP19-012,1.2704267967951994
B8,2.926364511833825
TSTF-M6,1.3205099241490639
ZY210820,0.6946884884157493
SVXNc,0.09851064376495414
Sanger_97,0.7505876893413886
D4759,1.390424545884651
WK012_4_13,0.3267252967792409
22-AL-CL-001,0.39236536455409465
BP47G,0.4619340599634137
HT1-2,7.8610185517160565
HA2174,0.19026226347205724
HTCC2503,0.19038840548071312
PCC_9006,3.996527564621286
RJY3,0.3770197852453178
Z,4.597355107746046
E58,0.603049030384138
FW153,3.06899190985121
CLY1604,0.14258101382309793
IC-167,1.0796755418016628
NCTC12153,1.7852827839684413
CIP_110305,0.4130472975127453
CCM_7428,0.7560391209586549
NBRC_14820,0.33510389703591964
DSM_10507,0.023986795381176592
CCUG_348,1.2537824215882925
CCUG_75669T,8.271773079861115
DSM_6589,0.008439410609912486
JCM_10309,0.09089212841190969
KCTC_22579,1.2837574896715367
NRRL_B-1968,0.3141749376005869
NRRL_B-16723,1.0877669764766182
GIMC_2006:CabB577,0.3679814185008398
SJ,0.217957565274541
JCM_17269,1.406380882395709
CCUG_9405,1.0987913379641943
CGMCC_110972,0.30090212554500617
EP5-r,0.24057082692521192
DSM_24525,0.12491548024627983
