Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	[Arcobacter]_porcinus	NA	/mnt/e/focusDB/db/GCA_004299785.2_ASM429978v2_genomic.fasta
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	[Brevibacterium]_frigoritolerans	NA	/mnt/e/focusDB/db/GCA_001636405.1_ASM163640v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_aminophilum	NA	/mnt/e/focusDB/db/GCA_000711825.1_ASM71182v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_aminophilum	NA	/mnt/e/focusDB/db/GCA_900112885.1_IMG-taxon_2593339256_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium]_cocleatum	NA	/mnt/e/focusDB/db/GCA_002803405.1_ASM280340v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	[Clostridium]_dakarense	NA	/mnt/e/focusDB/db/GCA_000499525.1_Clostridium_dakarense_01_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_fimetarium	NA	/mnt/e/focusDB/db/GCA_900111235.1_IMG-taxon_2675903166_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_hylemonae	NA	/mnt/e/focusDB/db/GCA_000156515.1_ASM15651v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_hylemonae	NA	/mnt/e/focusDB/db/GCA_008281175.1_ASM828117v1_genomic.fasta
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium]_innocuum	NA	/mnt/e/focusDB/db/GCA_012317185.1_ASM1231718v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_methoxybenzovorans	NA	/mnt/e/focusDB/db/GCA_000421505.1_ASM42150v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_polysaccharolyticum	NA	/mnt/e/focusDB/db/GCA_900111595.1_IMG-taxon_2606217760_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_populeti	NA	/mnt/e/focusDB/db/GCA_900112775.1_IMG-taxon_2599185221_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium]_saccharogumia	NA	/mnt/e/focusDB/db/GCA_000686665.1_ASM68666v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_scindens	NA	/mnt/e/focusDB/db/GCA_000154505.1_ASM15450v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_scindens	NA	/mnt/e/focusDB/db/GCA_004295125.1_ASM429512v1_genomic.fasta
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium]_spiroforme	NA	/mnt/e/focusDB/db/GCA_000154805.1_ASM15480v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium]_symbiosum	NA	/mnt/e/focusDB/db/GCA_000466485.1_ASM46648v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	[Curtobacterium]_plantarum	NA	/mnt/e/focusDB/db/GCA_003710245.1_ASM371024v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pluralibacter	[Enterobacter]_lignolyticus	NA	/mnt/e/focusDB/db/GCA_000164865.1_ASM16486v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus]_ducreyi	NA	/mnt/e/focusDB/db/GCA_001043455.1_ASM104345v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus]_ducreyi	NA	/mnt/e/focusDB/db/GCA_002015155.1_ASM201515v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus]_ducreyi	NA	/mnt/e/focusDB/db/GCA_900109315.1_IMG-taxon_2597490374_annotated_assembly_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	[Kitasatospora]_papulosa	NA	/mnt/e/focusDB/db/GCA_000717245.1_ASM71724v1_genomic.fasta
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	[Lactobacillus]_timonensis	NA	/mnt/e/focusDB/db/GCA_900240275.1_PRJEB20106_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Basfia	[Mannheimia]_succiniciproducens	NA	/mnt/e/focusDB/db/GCA_000007745.1_ASM774v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	[Mycobacterium]_stephanolepidis	NA	/mnt/e/focusDB/db/GCA_002356335.1_ASM235633v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	[Ochrobactrum]_quorumnocens	NA	/mnt/e/focusDB/db/GCA_002278035.1_ASM227803v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	[Ochrobactrum]_soli	NA	/mnt/e/focusDB/db/GCA_003664555.1_ASM366455v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	[Ochrobactrum]_teleogrylli	NA	/mnt/e/focusDB/db/GCA_006376685.1_ASM637668v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	[Pantoea]_beijingensis	NA	/mnt/e/focusDB/db/GCA_004022165.1_ASM402216v1_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	[Pseudomonas]_hibiscicola	NA	/mnt/e/focusDB/db/GCA_000382065.1_ASM38206v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus]_gnavus	NA	/mnt/e/focusDB/db/GCA_000169475.1_ASM16947v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus]_gnavus	NA	/mnt/e/focusDB/db/GCA_002959615.1_ASM295961v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus]_gnavus	NA	/mnt/e/focusDB/db/GCA_009831375.1_ASM983137v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus]_lactaris	NA	/mnt/e/focusDB/db/GCA_000155205.1_ASM15520v1_genomic.fasta
Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abitibacteriaceae	Abditibacterium	Abditibacterium_utsteinense	NA	/mnt/e/focusDB/db/GCA_002973605.1_ASM297360v1_genomic.fasta
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia_defectiva	NA	/mnt/e/focusDB/db/GCA_000160075.2_ASM16007v2_genomic.fasta
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia_defectiva	NA	/mnt/e/focusDB/db/GCA_013267415.1_ASM1326741v1_genomic.fasta
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absicoccus	Absicoccus_porci	NA	/mnt/e/focusDB/db/GCA_003725415.1_YH-panp20_genomic.fasta
