## miComplete
## v1.1.1
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Contigs	N50	L50	N90	L90	CDs	
scaff_non_virus_7	620166	0.66	3	0.0286	1.3333	69	20904	9	2928	40	676	
scaff_non_virus_6	893036	0.59	4	0.0381	1.0000	195	5901	50	2350	148	1309	
scaff_non_virus_5	1533885	0.44	60	0.5714	1.0333	318	6197	74	2231	235	1586	
scaff_non_virus_4	2021036	0.67	60	0.5714	1.0167	507	4742	119	1999	391	2288	
scaff_non_virus_3	2477566	0.7	13	0.1238	1.0000	142	27749	28	8932	88	2366	
scaff_non_virus_1	6618865	0.38	53	0.5048	1.7736	1865	4081	464	1826	1466	7883	
scaff_non_virus_2	5434811	0.64	72	0.6857	1.1111	1316	4755	270	1949	1001	6567	
